Navn; calories; proteins; carbs; fat; type;
typer: frugt og grønt=fg, fjerkræ, kød, fisk, snack, drikke, krydderi, nød, bær, korn, brød og mejeri=bm

Roquefort, 50+;343;19.4;0.1;29.5;bm
Kaffe, instant, decaffeinated, drikkeklar;4;0.1;0.8;0;drikke
Danablu 50+;350;20.1;0;29.5,bm
Brie, 60+;352;17.7;0;30.3;bm
Bacon, kogestykke, rå;379;15;0;35;kød
Kaffe, drikkeklar;1;0.1;0.1;0;drikke
Rugkerner, hele/knækkede;332;9.7;58.2;2.3;korn
Leverpølse, pålæg;393;13.4;4.1;35.8;kød
Creme fraiche 50 %;466;1.9;2.4;50;bm
Ost, fast, 45+, alle typer;335;24.2;0.1;25.7;bm
Hørfrø, rå;525;25;36.4;31;korn
Jordnød, tørret;538;29.8;8.1;37.8;nød
Mælkeis, uspec.;154;4;23.5;3;snack
Fløde 50 %;468;1.9;2.4;50;bm
Sojamel;449;40.7;15.4;22.2;korn
Ris, brune, rå;358;9.5;68.9;2.9;korn
Skummetmælkspulver;356;31.5;49.5;1.4;bm
Havarti, 45+;343;24;0.1;26.8;bm
Hyben pulver, tørret;278;4.5;40;1.5;korn
Østers, rå;61;7.8;4.2;1.5;fisk
Hvidvin, tør;68;0.1;0.2;0;drikke
Fiskeboller, konserves;62;8.3;4.9;1;fisk
Rugbrød, revet, med brunt sukker, uspec.;348;6.5;71.2;2;korn
Hvidvin, uspec.;83;0.1;2.6;0;drikke
Hvidvin, Rhinskvin;67;0.1;2.9;0;drikke
Tomat, soltørret;282;14.1;43.5;3;fg
Ymer naturel;72;6;3.4;3.6;bm
Rødvin, rosévin, uden alkohol;15;0.2;3.5;0;drikke
Hvidvin, medium;79;0.1;2.4;0;drikke
Småkage, finsk brød;537;6.1;56.9;31.2;snack
Hvidvin, uden alkohol;19;0.2;5.5;0;drikke
Byggryn, rå;349;9.9;62.2;2.4;korn
Øl, let pilsner, 2.6 % vol.;26;0.2;2.7;0;drikke
Risstivelse;343;0.8;84.9;0;korn
Lakridskonfekt;395;2.3;66.2;6.2;snack
Wienerbrød, spandauer;409;5.2;34.5;27.2;snack
Dressing, fransk;469;0.8;15.6;44.8;bm
Danablu 60+;407;15.9;0.1;37.4;bm
Fynbo, 45+;357;25.4;0;27.7;bm
Æg, høne, æggehvide, pasteuriseret;43;9;1.9;0;fjerkræ
Stenbider, røget;373;15.6;0;34.5;fisk
Hvedekerner, hele/knækkede;340;11.5;61.9;2;korn
Frugtsaft, blandet, usødet, koncentreret;35;0.2;8.5;0;drikke
Rasp;351;11.6;69.8;1.5;korn
Æblemost, uspec.;48;0.1;10.2;0.1;drikke
Øl, pilsner, 4.4 % vol.;36;0.3;2.7;0;drikke
Sagogryn (kartoffelstivelse);354;0.2;87.2;0.3;korn
Sennep, brun, færdiglavet;121;5;16.7;3.1;krydderi
Hvidløg, rå;158;6.4;30.9;0.5;fg
Rosévin;72;0.2;1.4;0;drikke
Mayonnaise, fedtreduceret;462;0;0;51.3;krydderi
Millionbøf, uspec.;127;8.1;4.9;8.3;kød
Spædbørnsmad, modermælkserstatning, lavt jernindhold, pulver;478;9.5;58;27.7;drikke
Sherry, medium;118;0.1;3.4;0;drikke
Rødvin, uspec.;77;0.2;0.3;0;drikke
Æg, høne, æggehvide, rå;44;10.2;0.9;0;fjerkræ
Bacon, stegestykke, rå;430;13;0;42;kød
Vermouth, tør;118;0.1;5.2;0;drikke
Vermouth, sød;145;0;14.5;0;drikke
Sveske, rå;230;2.7;54.6;0.7;fg
Tamarind, rå;256;2.8;57.4;0.6;fg
Croissant;420;8.5;41;24.1;bm
Øl, ubeskattet, uspec.;46;0.3;5.7;0;drikke
Æg, høne, æggehvide, tørret;357;82.3;6.8;0;fjerkræ
Eddike;20;0.4;5.4;0;krydderi
Madeira;166;0;10;0;drikke
Campari;180;0;20;0;drikke
Tebirkes;434;8.3;40.6;25.9;bm
Ost, blå- og hvidskimmel, 70+;449;12.9;0.1;44.1;bm
Hvidvin, sød;96;0.2;5.9;0;drikke
Bitter, uspec.;211;0;0.1;0;drikke
Peber, sort;304;10.9;44.5;3.3;krydderi
Øl, mørkt hvidtøl;45;0.3;8.6;0;drikke
Bitter, Gammel Dansk Bitter Dram;214;0;0;0;drikke
Cognac;224;0;0;0;drikke
Hvidvin, mousserende, champagne;76;0.3;1.4;0;drikke
Svenbo, 45+;377;27;0;29.2;bm
Snaps, krydder-, uspec.;268;0;0;0;drikke
Sherry, tør;117;0.2;1.3;0;drikke
Oliven, sorte, uden sten, i saltlage;112;1;2.9;9.8;fg
Øl, Guld-, 5.6 % vol.;48;0.4;3.2;0;drikke
Spirituosa, gennemsnitlige værdier;234;0;0;0;drikke
Vodka;234;0;0;0;drikke
Skærekage, citronkage;429;5;53.6;21.3;snack
Bitter, krabask bitter;228;0;1;0;drikke
Emmentaler, 45+;377;27.5;0.1;29.1;bm
Morgenmadsprodukt, Rice Krispies;372;6.3;80.4;1.5;bm
Snaps, 40 % vol., uspec.;224;0;0;0;drikke
Ispind, jordbær;157;4;24;5;snack
Rødvin, spansk, sød;168;0;0;0;drikke
Citronsaft, friskpresset;31;0.4;8.6;0;krydderi
Esrom, 60+;426;19;0.1;38.3:bm
Flødeyoghurt med frugt, 9 % fedt;128;2.9;12;7.7;bm
Tofu, sojabønneost;76;7.8;1.2;4.2;bm
Portvin;153;0.1;11.1;0;drikke
Grapefrugtjuice, konserves, usødet;34;0.3;7.9;0.1;drikke
Skærekage, chokoladekage/-pie;432;5.8;48.8;23.5;snack
Bouillon, hønsekød, spiseklar;4;0.3;0.3;0.2;krydderi
Wienerbrød, kanelsnegl;418;4.9;47.6;22.5;bm
Wienerbrød, uspec.;442;4.9;42.7;27.3;bm
Skærekage, formkage, uspec.;424;5;53.1;20.2;snack
Pop corn, traditionelle;468;9.6;57.9;20.2;snack
Bulgur, parboiled, rå;342;11.8;45.5;1.9;korn
Linsespirer, rå;123;9;19.1;0.6;korn
Whisky;252;0;0;0;drikke
Spegepølse, oksekød;406;20.1;0;36.2;kød
Havarti, 60+;427;19.1;0.1;38.1;bm
Øl, skatteklasse 3, uspec.;62;0.4;4.6;0;drikke
Fløde 9 %, syrnet;118;6.7;3.2;8.2;bm
Pølse, tepølse;478;10.9;0;48.3;kød
Hasselnød, tørret;657;15.6;3.3;60.6;nød
Fløde 9 %;111;3.3;4.2;9;bm
Pasta, rå;361;13.5;73.9;1.8;korn
Kvark, 5+;58;9;3.7;0.3;bm
Grana, 32+;354;32.9;0.1;24.1;bm
Parmesan, 32+;357;32.9;0.1;24.1;bm
Gin;265;0;0;0;drikke
Creme fraiche 9 %;110;3.4;3.5;9;bm
Agurk, syltet, uden tilsat sukker;10;0.3;1.1;0.2;fg
Bagegær, presset, rå;114;8.4;0;1.9;bm
Småkage, vanillekranse;528;5.2;61.1;28.8;snack
Cheddar, 50+;405;25.7;0.1;33.1;bm
Fiskefars, rå;110;8.5;12.8;2.8;fisk
Rom;278;0;0;0;drikke
Pistacienød, tørret;606;25.5;8.1;50.3;nød
Flødeboller, skumboller;426;4.4;64.9;16.5;snack
Hirseflager;370;13;71;3.3;korn
Rygeost, 1 % fedt;68;11.1;3.5;0.5;bm
Torsk, lever, konserves;532;4.6;1;55.1;fisk
Jordbær, dybfrost, usukrede;41;0.4;5.9;0.4;bær
Snacks, ekspanderet, majsbasis;503;7.4;58.8;25.7;snack
Ananasjuice, konserves;54;0.4;12.8;0.1;drikke
Myseost, 33+;433;14.7;33.1;27;bm
Gruyere, 45+;396;29.3;0.1;30.1;bm
Rødkål, konserves, uden tilsat sukker;20;0.5;2.9;0.1;fg
Wienerbrød, kringle/stang;453;4.7;43.8;28.1;bm
Sherry, sød;136;0.3;6.5;0;drikke
Figen, tørret;292;3.3;54;0.9;fg
Tranebær, rå;42;0.4;7.6;0.1;bær
Tørkage, linse;443;6.1;48.9;24.5;snack
Pop Corn (poppede majskærner);489;9.6;53.7;24.3;snack
Wienerbrød, julekage;458;5.7;37.6;31;bm
Spegepølse;465;14.5;0;45.2;kød
Skærekage, sandkage;446;6.1;48.7;25;snack
Kvæde, rå;60;0.4;13.4;0.1;fg
Græskar, rå;18;0.6;3.3;0.1;fg
Dressing, blue cheese;520;4.8;7.4;52.3;krydderi
Kinaradise, japanræddike, rå;17;0.6;2.6;0.1;fg
Sesamfrø, hele;605;23.1;1.4;53.8;korn
Oliven, grønne, marinerede, konserves;134;1;5;11.7;fg
Tang, agar, tørret;299;2.3;69.3;0.3;fg
Knækbrød, rug-, groft;343;10.2;61;2;bm
